names,categories,confidence,websites,socials,phones,addresses,omf_name,omf_category,omf_confidence,omf_websites,omf_socials,omf_phones,omf_addresses,clean_omf_name,clean_omf_addresses
"{""primary"":""Goin' Postal Jacksonville""}","{""primary"":""shipping_center"",""alternate"":[""freight_and_cargo_service"",""post_office""]}",0.9962614185921548,"[""http://www.goinpostaljacksonville.com/""]","[""https://www.facebook.com/463273470392736""]","[""+19049989600""]","[{""freeform"":""7643 Gate Pkwy"",""locality"":""Jacksonville"",""postcode"":""32256-2892"",""region"":""FL"",""country"":""US""}]",Goin' Postal Jacksonville,shipping_center,0.9962614185921548,http://www.goinpostaljacksonville.com/,https://www.facebook.com/463273470392736,+19049989600,"7643 Gate Pkwy,Jacksonville,FL,32256-2892",goin postal jacksonville,7643 gate pkwyjacksonvillefl322562892
"{""primary"":""Valley Transmission""}","{""primary"":""automotive_repair"",""alternate"":[""automotive"",""professional_services""]}",0.9962614185921548,"[""http://valleytransca.com/""]","[""https://www.facebook.com/107150256087765""]","[""+16194474353""]","[{""freeform"":""1158 N 2nd St"",""locality"":""El Cajon"",""postcode"":""92021-5023"",""region"":""CA"",""country"":""US""}]",Valley Transmission,automotive_repair,0.9962614185921548,http://valleytransca.com/,https://www.facebook.com/107150256087765,+16194474353,"1158 N 2nd St,El Cajon,CA,92021-5023",valley transmission,1158 n 2nd stel cajonca920215023
"{""primary"":""Mazda Nelspruit""}","{""primary"":""car_dealer"",""alternate"":[""automotive"",""automotive_dealer""]}",0.997898979043525,"[""http://bit.ly/NelspruitMazda""]","[""https://www.facebook.com/113070635372645""]","[""+27137573800""]","[{""freeform"":""Mazda Nelspruit, 49 Emnotweni Avenue"",""locality"":""Riverside Park"",""postcode"":""1201"",""region"":""MP"",""country"":""ZA""}]",Mazda Nelspruit,car_dealer,0.997898979043525,http://bit.ly/NelspruitMazda,https://www.facebook.com/113070635372645,+27137573800,"Mazda Nelspruit, 49 Emnotweni Avenue,Riverside Park,MP,1201",mazda nelspruit,mazda nelspruit 49 emnotweni avenueriverside parkmp1201
"{""primary"":""Red Wing - Roswell, GA""}","{""primary"":""shoe_store"",""alternate"":[""online_shop"",""retail""]}",0.77,"[""https://stores.redwingshoes.com/roswell-ga""]",,"[""7705584400""]","[{""freeform"":""875 Mansell Rd B1"",""locality"":""Roswell"",""region"":""GA"",""country"":""US"",""postcode"":""30076""}]","Red Wing - Roswell, GA",shoe_store,0.77,https://stores.redwingshoes.com/roswell-ga,,7705584400,"875 Mansell Rd B1,Roswell,GA,30076",red wing  roswell ga,875 mansell rd b1roswellga30076
"{""primary"":""Norauto España""}","{""primary"":""automotive_repair"",""alternate"":[""car_dealer"",""automotive_parts_and_accessories""]}",0.9962614185921548,"[""https://centro.norauto.es/alacant/finestrat/c-rei-jaume-i-n-9""]","[""https://www.facebook.com/295967644448975""]","[""+34966803254""]","[{""freeform"":""Carrer del Rei Jaume I, 9"",""locality"":""Finestrat"",""postcode"":""03509"",""country"":""ES""}]",Norauto España,automotive_repair,0.9962614185921548,https://centro.norauto.es/alacant/finestrat/c-rei-jaume-i-n-9,https://www.facebook.com/295967644448975,+34966803254,"Carrer del Rei Jaume I, 9,Finestrat,,03509",norauto espaa,carrer del rei jaume i 9finestrat03509
"{""primary"":""Newport Institute""}","{""primary"":""doctor"",""alternate"":[""health_and_medical""]}",0.77,"[""http://www.newportinstitute.com/?utm_source=soci&utm_medium=referral&utm_campaign=listing&utm_content=shady-creek""]",,"[""8445450602""]","[{""freeform"":""43821 Shady Crk"",""locality"":""Temecula"",""region"":""CA"",""country"":""US"",""postcode"":""92590""}]",Newport Institute,doctor,0.77,http://www.newportinstitute.com/?utm_source=soci&utm_medium=referral&utm_campaign=listing&utm_content=shady-creek,,8445450602,"43821 Shady Crk,Temecula,CA,92590",newport institute,43821 shady crktemeculaca92590
"{""primary"":""Comfort Inn Alexandria West - Landmark""}","{""primary"":""hotel""}",0.77,"[""https://www.choicehotels.com/virginia/alexandria/comfort-inn-hotels/va116""]",,"[""7036423422""]","[{""freeform"":""6254 Duke St"",""locality"":""Alexandria"",""postcode"":""22312"",""region"":""VA"",""country"":""US""}]",Comfort Inn Alexandria West - Landmark,hotel,0.77,https://www.choicehotels.com/virginia/alexandria/comfort-inn-hotels/va116,,7036423422,"6254 Duke St,Alexandria,VA,22312",comfort inn alexandria west  landmark,6254 duke stalexandriava22312
"{""primary"":""SushiCo""}","{""primary"":""sushi_restaurant"",""alternate"":[""japanese_restaurant"",""bubble_tea""]}",0.9962614185921548,"[""http://www.sushico.nl/""]","[""https://www.facebook.com/110185694447961""]","[""+31318255062""]","[{""freeform"":""Torenstraat 16"",""locality"":""Ede"",""postcode"":""6711 AN"",""country"":""NL""}]",SushiCo,sushi_restaurant,0.9962614185921548,http://www.sushico.nl/,https://www.facebook.com/110185694447961,+31318255062,"Torenstraat 16,Ede,,6711 AN",sushico,torenstraat 16ede6711 an
"{""primary"":""NextCare Urgent Care Gastonia""}","{""primary"":""doctor"",""alternate"":[""medical_center"",""urgent_care_clinic"",""health_and_medical""]}",0.77,"[""https://nextcare.com/locations/nc/gastonia/""]",,"[""7042154057""]","[{""freeform"":""3680 Robinwood Rd"",""locality"":""Gastonia"",""region"":""NC"",""country"":""US"",""postcode"":""28054""}]",NextCare Urgent Care Gastonia,doctor,0.77,https://nextcare.com/locations/nc/gastonia/,,7042154057,"3680 Robinwood Rd,Gastonia,NC,28054",nextcare urgent care gastonia,3680 robinwood rdgastonianc28054
"{""primary"":""BP""}","{""primary"":""gas_station"",""alternate"":[""energy_company"",""auto_detailing""]}",0.9872500778573653,"[""https://www.bp.com/es_es/spain/home.html""]","[""https://www.facebook.com/2023469851040046""]","[""+34966400784""]","[{""freeform"":""Avenida de Oliva"",""locality"":""Alicante"",""postcode"":""03780"",""country"":""ES""}]",BP,gas_station,0.9872500778573653,https://www.bp.com/es_es/spain/home.html,https://www.facebook.com/2023469851040046,+34966400784,"Avenida de Oliva,Alicante,,03780",bp,avenida de olivaalicante03780
