clean_omf_name,clean_yelp_name,clean_omf_addresses,clean_yelp_address,omf_category,categories_yelp,omf_confidence,omf_websites,omf_socials,omf_phones
mister car wash,mister car wash,1435 w river rdtucsonaz85704,1435 w river rdtucsonaz85704,auto_detailing,"Car Wash, Auto Detailing, Automotive",0.77,https://mistercarwash.com/,,5202931359.0
skh locksmiths  security llc,skh locksmiths,469 lincoln avehatboropa19040,469 lincoln avehatboropa19040,key_and_locksmith,"Home Services, Keys & Locksmiths, Security Services, Security Systems, Automotive, Home Automation, Auto Security, Professional Services",0.77,https://skhlock.com/,,2154429191.0
the barn at sycamore farms,the barn at sycamore farms,4866 murfreesboro rdarringtontn370149167,4866 murfreesboro rdarringtontn37014,event_planning,"Event Planning & Services, Venues & Event Spaces",0.9962614185921548,http://www.sycamorefarmsevents.com/,https://www.facebook.com/820650634699704,16153958266.0
walmart grocery pickup and delivery service,walmart,2501 rte 130 scinnaminsonnj08077,2501 route 130 scinnaminsonnj08077,retail,"Department Stores, Electronics, Mobile Phones, Food, Drugstores, Fashion, Grocery, Shopping, Discount Store",0.77,https://grocery.walmart.com/locations/delivery/Walmart-Cinnaminson-NJ-Supercenter-2871,,
hollyhock hill,hollyhock hill,8110 n college aveindianapolisin462402554,8110 n college aveindianapolisin46240,chicken_restaurant,"Party & Event Planning, Caterers, American (New), Event Planning & Services, Venues & Event Spaces, Food, Southern, American (Traditional), Comfort Food, Restaurants, Chicken Wings, Chicken Shop, Tea Rooms, Nightlife, Bars",0.9962614185921548,http://www.hollyhockhill.com/,https://www.facebook.com/142551169910,13172512294.0
the glen at shawmont station,the glen at shawmont station,300 autumn river runphiladelphiapa19128,300 autumn river runphiladelphiapa19128,apartments,"Home Services, Real Estate, Apartments",0.77,https://www.theglenphilly.com/,,2154824889.0
cracker barrel old country store,cracker barrel old country store,213 indian lake blvdhendersonvilletn37075,213 indian lake blvdhendersonvilletn37075,breakfast_and_brunch_restaurant,"Restaurants, Southern, Breakfast & Brunch, African, American (Traditional), Desserts, Food, Salad",0.77,https://www.crackerbarrel.com/Locations/States/tn/hendersonville/630/,,6158227407.0
courtyard philadelphia springfield,courtyard by marriott philadelphia springfield,400 west sproul roadspringfieldpa19064,400 w sproul rdspringfieldpa19064,resort,"Hotels, Event Planning & Services, Hotels & Travel",0.77,https://www.marriott.com/en-us/hotels/phlgf-courtyard-philadelphia-springfield/overview/?scid=cf432f1f-54d2-411a-89ce-225188630324,,6105431080.0
courtyard philadelphia springfield,springfield ymca,400 west sproul roadspringfieldpa19064,194 w sproul rdspringfieldpa19064,resort,"Tennis, Health & Medical, Fitness & Instruction, Day Spas, Beauty & Spas, Gyms, Hospitals, Active Life, Sports Clubs, Trainers",0.77,https://www.marriott.com/en-us/hotels/phlgf-courtyard-philadelphia-springfield/overview/?scid=cf432f1f-54d2-411a-89ce-225188630324,,6105431080.0
lidl us,lidl,420 e macdade blvdfolsompa19033,420 macdade blvdfolsompa19033,supermarket,"Shopping, Grocery, Discount Store, Food",0.9962614185921548,http://www.lidl.com/,https://www.facebook.com/2076627859316005,18447475435.0
dunkin donuts,dunkin donuts,14254 bustleton avephiladelphiapa191161108,14254 bustleton avephiladelphiapa19116,donuts,"Coffee & Tea, Donuts, Bagels, Food",0.9962614185921548,http://www.youtube.com/DunkinDonuts,https://www.facebook.com/259846270700941,12676214823.0
dunkin donuts,dunkin,14254 bustleton avephiladelphiapa191161108,7512 bustleton avephiladelphiapa19152,donuts,"Donuts, Restaurants, Coffee & Tea, Food",0.9962614185921548,http://www.youtube.com/DunkinDonuts,https://www.facebook.com/259846270700941,12676214823.0
