truth_source,foursquare_sim,foursquare_exact,foursquare_present,meta_sim,meta_exact,meta_present,microsoft_sim,microsoft_exact,microsoft_present
meta,0,0,0,7,1,1,6,0,1
meta,6,0,1,7,1,1,0,0,0
meta,0,0,0,7,1,1,6,0,1
meta,0,0,0,8,1,1,8,1,1
meta,3,0,1,7,1,1,7,1,1
microsoft,0,0,0,0,0,0,5,1,1
meta,0,0,0,8,1,1,7,0,1
meta,7,0,1,8,1,1,0,0,0
microsoft,0,0,0,0,0,0,7,1,1
meta,0,0,0,9,1,1,6,0,1
meta,0,0,0,7,1,1,6,0,1
microsoft,0,0,0,0,0,0,8,1,1
meta,0,0,0,7,1,1,7,1,1
meta,0,0,0,6,0,1,6,1,1
meta,3,0,1,8,1,1,8,1,1
meta,7,0,1,8,1,1,0,0,0
meta,0,0,0,9,1,1,6,0,1
microsoft,0,0,0,0,0,0,7,1,1
microsoft,0,0,0,0,0,0,6,1,1
microsoft,0,0,0,0,0,0,7,1,1
microsoft,0,0,0,0,0,0,8,1,1
microsoft,0,0,0,0,0,0,6,1,1
microsoft,0,0,0,0,0,0,7,1,1
microsoft,0,0,0,0,0,0,6,1,1
microsoft,0,0,0,0,0,0,7,1,1
microsoft,0,0,0,0,0,0,7,1,1
