truth_source,foursquare_sim,foursquare_exact,foursquare_present,meta_sim,meta_exact,meta_present,microsoft_sim,microsoft_exact,microsoft_present
meta,0,0,0,5,1,1,5,1,1
meta,4,1,1,4,1,1,0,0,0
meta,0,0,0,3,1,1,3,1,1
meta,0,0,0,5,1,1,5,1,1
meta,1,1,1,1,1,1,1,1,1
microsoft,0,0,0,0,0,0,3,1,1
meta,0,0,0,2,1,1,2,0,1
foursquare,3,1,1,3,0,1,0,0,0
microsoft,0,0,0,0,0,0,3,1,1
meta,0,0,0,3,1,1,3,1,1
meta,0,0,0,6,1,1,6,1,1
microsoft,0,0,0,0,0,0,2,1,1
meta,0,0,0,2,1,1,2,1,1
microsoft,0,0,0,1,0,1,1,1,1
meta,1,1,1,1,1,1,1,1,1
foursquare,2,1,1,2,0,1,0,0,0
meta,0,0,0,9,1,1,9,1,1
microsoft,0,0,0,0,0,0,5,1,1
microsoft,0,0,0,0,0,0,6,1,1
microsoft,0,0,0,0,0,0,5,1,1
microsoft,0,0,0,0,0,0,1,1,1
microsoft,0,0,0,0,0,0,2,1,1
microsoft,0,0,0,0,0,0,3,1,1
microsoft,0,0,0,0,0,0,3,1,1
microsoft,0,0,0,0,0,0,5,1,1
microsoft,0,0,0,0,0,0,4,1,1
