place_id,best_source,best_name,best_phone,best_website,best_address,best_category,name_source,phone_source,website_source,address_source,categories_source
08f088557537354903c275dd5a290659,meta,Scandic CH,"[""+46264958400""]","[""http://www.scandichotels.com/ch""]","[{""freeform"": ""Nygatan 45"", ""locality"": ""G\u00e4vle"", ""postcode"": ""803 11"", ""country"": ""SE""}]","{""primary"": ""hotel"", ""alternate"": [""accommodation"", ""buffet_restaurant""]}",microsoft,meta,meta,meta,meta
08f08996aa19640503998575bf5e624f,meta,Työväen Akatemia,"[""+358401763581""]","[""http://www.akatemia.org/""]","[{""freeform"": ""Vanha Turuntie 14"", ""locality"": ""Kauniainen"", ""postcode"": ""02700"", ""country"": ""FI""}]","{""primary"": ""college_university""}",microsoft,meta,meta,meta,microsoft
08f08ed358889889037e291e52eb62a5,meta,Full Steam Tromso,"[""+4792044930""]","[""http://www.fullsteam.no/""]","[{""freeform"": ""S\u00f8ndre Tollbodgate 3"", ""locality"": ""Troms\u00f8"", ""postcode"": ""9008"", ""region"": ""54"", ""country"": ""NO""}]","{""primary"": ""restaurant"", ""alternate"": [""cafe"", ""seafood_restaurant""]}",meta,meta,meta,meta,meta
08f08f02c0755b89034609eac48d4092,meta,Mecra Consult AB,"[""+46910720720""]","[""http://www.mecra.se/""]","[{""freeform"": ""Verkstadsv\u00e4gen 13"", ""locality"": ""Skellefte\u00e5"", ""postcode"": ""931 61"", ""country"": ""SE""}]","{""primary"": ""pest_control_service"", ""alternate"": [""recreation_vehicle_repair"", ""metal_fabricator""]}",microsoft,meta,meta,meta,meta
08f1126d332248ed03373d1c4f03052a,meta,Hautaustoimisto Mikko Mononen,"[""+358968626200""]","[""https://hautaus-mononen.fi/""]","[{""freeform"": ""Liisankatu 25"", ""locality"": ""Helsinki"", ""postcode"": ""00170"", ""region"": ""ES"", ""country"": ""FI""}]","{""primary"": ""funeral_services_and_cemeteries"", ""alternate"": [""shopping""]}",microsoft,meta,meta,meta,meta
08f1126d338cb585032ef99b66edb965,meta,EuroPark P-Eliel,"[""+358207907300""]","[""http://www.europark.fi/english/parking-halls/hki-eliel-eng""]","[{""freeform"": ""Asema-aukio 1"", ""locality"": ""Helsinki"", ""postcode"": ""00100"", ""country"": ""FI""}]","{""primary"": ""parking"", ""alternate"": [""topic_concert_venue"", ""social_service_organizations""]}",microsoft,meta,meta,meta,meta
08f11aa78c7ad0e5034e75b4b7abd882,meta,Коллегия адвокатов г. Москвы «ЭксЛедж»,"[""+74993942724""]","[""https://goo.gl/3Y9yAj""]","[{""freeform"": ""\u0443\u043b\u0438\u0446\u0430 \u0411\u043e\u043b\u044c\u0448\u0438\u0435 \u041a\u0430\u043c\u0435\u043d\u0449\u0438\u043a\u0438 2"", ""locality"": ""\u041c\u043e\u0441\u043a\u0432\u0430"", ""postcode"": ""115172"", ""country"": ""RU""}]","{""primary"": ""lawyer""}",microsoft,meta,meta,meta,meta
08f11aa7a1a188c003ef4bcf54a8e1a6,meta,Детская городская клиническая больница 9 имени Сперанского Г.Н.,"[""+74991868325""]","[""http://www.dgkb-9.ru/""]","[{""freeform"": ""\u0428\u043c\u0438\u0442\u043e\u0432\u0441\u043a\u0438\u0439 \u043f\u0440\u043e\u0435\u0437\u0434 29 \u043a\u043e\u0440\u043f 7"", ""locality"": ""\u041c\u043e\u0441\u043a\u0432\u0430"", ""postcode"": ""123317"", ""country"": ""RU""}]","{""primary"": ""health_and_medical"", ""alternate"": [""hospital"", ""pediatrician""]}",microsoft,meta,meta,meta,meta
08f121ba1a6ed7b103673c4bbcf8bf73,microsoft,Bannister GP Kia,"[""7805395024""]","[""http://www.bannistergpkia.ca/""]","[{""freeform"": ""11806 99 Ave"", ""locality"": ""Grande Prairie"", ""postcode"": ""T8W 0C7"", ""region"": ""AB"", ""country"": ""CA""}]","{""primary"": ""auto_parts_and_supply_store"", ""alternate"": [""auto_body_shop"", ""automotive""]}",microsoft,microsoft,microsoft,microsoft,microsoft
08f12ccd550310a30379d144bdd1f4aa,meta,Alberta Gymnastics Federation,"[""+14032595500""]","[""http://www.abgym.ab.ca/""]","[{""freeform"": ""550 71 Ave SE"", ""locality"": ""Calgary"", ""postcode"": ""T2H 0S6"", ""region"": ""AB"", ""country"": ""CA""}]","{""primary"": ""community_services_non_profits"", ""alternate"": [""gymnastics_center"", ""active_life""]}",meta,meta,meta,meta,meta
